"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"IM4GN Large","im4gn.large","8.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.2110 hourly","$0.1361 hourly","$0.0239 hourly","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","Moderate","$0.2112 hourly","$0.1454 hourly","$0.0626 hourly","$0.2522 hourly","$0.1864 hourly"
"C7I Extra Large","c7i.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.2121 hourly","$0.1400 hourly","$0.0425 hourly","$0.3961 hourly","$0.3240 hourly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8151","4 GHz","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.2200 hourly","$0.1380 hourly","$0.0370 hourly","$0.3120 hourly","$0.2300 hourly"
"M7I-FLEX Extra Large","m7i-flex.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.2214 hourly","$0.1463 hourly","$0.0807 hourly","$0.3962 hourly","$0.3211 hourly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.2220 hourly","$0.1466 hourly","$0.0684 hourly","$0.4060 hourly","$0.3306 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.2220 hourly","$0.1400 hourly","$0.0672 hourly","$0.4060 hourly","$0.3240 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","100 GB                 NVMe SSD","Up to 10 Gigabit","$0.2300 hourly","$0.1450 hourly","$0.0882 hourly","$0.4140 hourly","$0.3290 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","High","$0.2320 hourly","$0.1575 hourly","$0.0759 hourly","$0.4160 hourly","$0.3415 hourly"
"M7I Extra Large","m7i.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.2331 hourly","$0.1540 hourly","$0.0798 hourly","$0.4171 hourly","$0.3380 hourly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.2368 hourly","$0.1492 hourly","$0.0496 hourly","unavailable","unavailable"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","High","$0.2370 hourly","$0.1640 hourly","$0.0795 hourly","$0.4210 hourly","$0.3480 hourly"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2400 hourly","$0.1510 hourly","$0.0940 hourly","$0.4240 hourly","$0.3350 hourly"
"C6ID Extra Large","c6id.xlarge","8.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2415 hourly","$0.1522 hourly","$0.0665 hourly","$0.4255 hourly","$0.3362 hourly"
"R7G Extra Large","r7g.xlarge","32.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.2516 hourly","$0.1668 hourly","$0.0514 hourly","unavailable","unavailable"
"C5N Extra Large","c5n.xlarge","10.5 GiB","4 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","Up to 25 Gigabit","$0.2560 hourly","$0.1610 hourly","$0.0886 hourly","$0.4400 hourly","$0.3450 hourly"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2620 hourly","$0.1650 hourly","$0.1230 hourly","$0.4460 hourly","$0.3490 hourly"
"I3EN Large","i3en.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1250 GB                 NVMe SSD","Up to 25 Gigabit","$0.2630 hourly","$0.1800 hourly","$0.0350 hourly","$0.3550 hourly","$0.2720 hourly"
"R5A Extra Large","r5a.xlarge","32.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.2660 hourly","$0.1680 hourly","$0.0926 hourly","$0.4500 hourly","$0.3520 hourly"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","EBS only","Up to 25 Gigabit","$0.2670 hourly","$0.1680 hourly","$0.0693 hourly","unavailable","unavailable"
